Symbol,Series,Date,Prev Close,Close Price
WIPRO,EQ,07-Apr-2020,180,191.9
WIPRO,EQ,08-Apr-2020,191.9,192.9
WIPRO,EQ,09-Apr-2020,192.9,196.7
WIPRO,EQ,13-Apr-2020,196.7,189.2
WIPRO,EQ,15-Apr-2020,189.2,186.55
WIPRO,EQ,16-Apr-2020,186.55,187.85
WIPRO,EQ,17-Apr-2020,187.85,187
WIPRO,EQ,20-Apr-2020,187,181.1
WIPRO,EQ,21-Apr-2020,181.1,178.05
WIPRO,EQ,22-Apr-2020,178.05,178.55
WIPRO,EQ,23-Apr-2020,178.55,180.9
WIPRO,EQ,24-Apr-2020,180.9,177.75
WIPRO,EQ,27-Apr-2020,177.75,182.05
WIPRO,EQ,28-Apr-2020,182.05,179.7
WIPRO,EQ,29-Apr-2020,179.7,180.65
WIPRO,EQ,30-Apr-2020,180.65,190.95
WIPRO,EQ,04-May-2020,190.95,190.05
WIPRO,EQ,05-May-2020,190.05,184.2
WIPRO,EQ,06-May-2020,184.2,187.05
WIPRO,EQ,07-May-2020,187.05,184.1
WIPRO,EQ,08-May-2020,184.1,184
WIPRO,EQ,11-May-2020,184,184.7
WIPRO,EQ,12-May-2020,184.7,187.05
WIPRO,EQ,13-May-2020,187.05,189.7
WIPRO,EQ,14-May-2020,189.7,186
WIPRO,EQ,15-May-2020,186,183.8
WIPRO,EQ,18-May-2020,183.8,182.2
WIPRO,EQ,19-May-2020,182.2,184.4
WIPRO,EQ,20-May-2020,184.4,184.95
WIPRO,EQ,21-May-2020,184.95,189.1
WIPRO,EQ,22-May-2020,189.1,189
WIPRO,EQ,26-May-2020,189,188.8
WIPRO,EQ,27-May-2020,188.8,201.25
WIPRO,EQ,28-May-2020,201.25,199.35
WIPRO,EQ,29-May-2020,199.35,212.8
WIPRO,EQ,01-Jun-2020,212.8,215.05
WIPRO,EQ,02-Jun-2020,215.05,215.85
WIPRO,EQ,03-Jun-2020,215.85,211.35
WIPRO,EQ,04-Jun-2020,211.35,216.25
WIPRO,EQ,05-Jun-2020,216.25,218.75
WIPRO,EQ,08-Jun-2020,218.75,226.45
WIPRO,EQ,09-Jun-2020,226.45,218.35
WIPRO,EQ,10-Jun-2020,218.35,217
WIPRO,EQ,11-Jun-2020,217,212.9
WIPRO,EQ,12-Jun-2020,212.9,207.9
WIPRO,EQ,15-Jun-2020,207.9,213.8
WIPRO,EQ,16-Jun-2020,213.8,212.4
WIPRO,EQ,17-Jun-2020,212.4,217.8
WIPRO,EQ,18-Jun-2020,217.8,218.15
WIPRO,EQ,19-Jun-2020,218.15,222.05
WIPRO,EQ,22-Jun-2020,222.05,218.05
WIPRO,EQ,23-Jun-2020,218.05,220.6
WIPRO,EQ,24-Jun-2020,220.6,218.2
WIPRO,EQ,25-Jun-2020,218.2,218.2
WIPRO,EQ,26-Jun-2020,218.2,225.45
WIPRO,EQ,29-Jun-2020,225.45,219.7
WIPRO,EQ,30-Jun-2020,219.7,219.65
WIPRO,EQ,01-Jul-2020,219.65,219.05
WIPRO,EQ,02-Jul-2020,219.05,224.2
WIPRO,EQ,03-Jul-2020,224.2,224.8
WIPRO,EQ,06-Jul-2020,224.8,222.65
WIPRO,EQ,07-Jul-2020,222.65,224.9
WIPRO,EQ,08-Jul-2020,224.9,223.1
WIPRO,EQ,09-Jul-2020,223.1,221.6
WIPRO,EQ,10-Jul-2020,221.6,222.1
WIPRO,EQ,13-Jul-2020,222.1,227.6
WIPRO,EQ,14-Jul-2020,227.6,225
WIPRO,EQ,15-Jul-2020,225,262.75
WIPRO,EQ,16-Jul-2020,262.75,261.9
WIPRO,EQ,17-Jul-2020,261.9,261.35
WIPRO,EQ,20-Jul-2020,261.35,270.8
WIPRO,EQ,21-Jul-2020,270.8,271.35
WIPRO,EQ,22-Jul-2020,271.35,266
WIPRO,EQ,23-Jul-2020,266,266.6
WIPRO,EQ,24-Jul-2020,266.6,270.55
WIPRO,EQ,27-Jul-2020,270.55,268.85
WIPRO,EQ,28-Jul-2020,268.85,275.45
WIPRO,EQ,29-Jul-2020,275.45,277
WIPRO,EQ,30-Jul-2020,277,284.1
WIPRO,EQ,31-Jul-2020,284.1,280.95
WIPRO,EQ,03-Aug-2020,280.95,281.55
WIPRO,EQ,04-Aug-2020,281.55,281.05
WIPRO,EQ,05-Aug-2020,281.05,278.2
WIPRO,EQ,06-Aug-2020,278.2,279.65
WIPRO,EQ,07-Aug-2020,279.65,277.4
WIPRO,EQ,10-Aug-2020,277.4,277.4
WIPRO,EQ,11-Aug-2020,277.4,279.65
WIPRO,EQ,12-Aug-2020,279.65,276.2
WIPRO,EQ,13-Aug-2020,276.2,277
WIPRO,EQ,14-Aug-2020,277,276.5
WIPRO,EQ,17-Aug-2020,276.5,281.95
WIPRO,EQ,18-Aug-2020,281.95,282.7
WIPRO,EQ,19-Aug-2020,282.7,279.75
WIPRO,EQ,20-Aug-2020,279.75,274.2
WIPRO,EQ,21-Aug-2020,274.2,273.35
WIPRO,EQ,24-Aug-2020,273.35,272.7
WIPRO,EQ,25-Aug-2020,272.7,269.95
WIPRO,EQ,26-Aug-2020,269.95,272.05
WIPRO,EQ,27-Aug-2020,272.05,272.35
WIPRO,EQ,28-Aug-2020,272.35,272.05
WIPRO,EQ,31-Aug-2020,272.05,271.3
WIPRO,EQ,01-Sep-2020,271.3,271.6
WIPRO,EQ,02-Sep-2020,271.6,273.7
WIPRO,EQ,03-Sep-2020,273.7,282.85
WIPRO,EQ,04-Sep-2020,282.85,276
WIPRO,EQ,07-Sep-2020,276,278.75
WIPRO,EQ,08-Sep-2020,278.75,282.55
WIPRO,EQ,09-Sep-2020,282.55,282.85
WIPRO,EQ,10-Sep-2020,282.85,284.55
WIPRO,EQ,11-Sep-2020,284.55,293.3
WIPRO,EQ,14-Sep-2020,293.3,307.2
WIPRO,EQ,15-Sep-2020,307.2,307.35
WIPRO,EQ,16-Sep-2020,307.35,312.15
WIPRO,EQ,17-Sep-2020,312.15,311.7
WIPRO,EQ,18-Sep-2020,311.7,316.5
WIPRO,EQ,21-Sep-2020,316.5,311.9
WIPRO,EQ,22-Sep-2020,311.9,312.25
WIPRO,EQ,23-Sep-2020,312.25,314.85
WIPRO,EQ,24-Sep-2020,314.85,304.7
WIPRO,EQ,25-Sep-2020,304.7,313.9
WIPRO,EQ,28-Sep-2020,313.9,311.55
WIPRO,EQ,29-Sep-2020,311.55,311.5
WIPRO,EQ,30-Sep-2020,311.5,313.55
WIPRO,EQ,01-Oct-2020,313.55,313.05
WIPRO,EQ,05-Oct-2020,313.05,333.95
WIPRO,EQ,06-Oct-2020,333.95,330.05
WIPRO,EQ,07-Oct-2020,330.05,335.3
WIPRO,EQ,08-Oct-2020,335.3,359.45
WIPRO,EQ,09-Oct-2020,359.45,374
WIPRO,EQ,12-Oct-2020,374,377.5
WIPRO,EQ,13-Oct-2020,377.5,375.95
WIPRO,EQ,14-Oct-2020,375.95,350.45
WIPRO,EQ,15-Oct-2020,350.45,341.6
WIPRO,EQ,16-Oct-2020,341.6,339.65
WIPRO,EQ,19-Oct-2020,339.65,343.2
WIPRO,EQ,20-Oct-2020,343.2,346.75
WIPRO,EQ,21-Oct-2020,346.75,343.45
WIPRO,EQ,22-Oct-2020,343.45,344.45
